label,precision,recall,f1,support
crude,0.8181818181818182,0.8756756756756757,0.8459530026109661,185
saudi-arabia,0.8888888888888888,0.8,0.8421052631578947,30
nyse,0.9696969696969697,0.7441860465116279,0.8421052631578947,43
lyng,1.0,0.7272727272727273,0.8421052631578947,11
earn,0.7289655172413793,0.9805194805194806,0.8362341772151899,1078
japan,0.8478260869565217,0.824773413897281,0.8361408882082695,331
stoltenberg,1.0,0.717948717948718,0.835820895522388,39
volcker,0.9032258064516129,0.7777777777777778,0.835820895522388,36
cme,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
corn,0.7931034482758621,0.8679245283018868,0.8288288288288288,53
ico-coffee,0.7,1.0,0.8235294117647058,7
reagan,0.9512195121951219,0.7222222222222222,0.8210526315789474,54
rubber,0.9,0.75,0.8181818181818182,12
sugar,0.8285714285714286,0.8055555555555556,0.8169014084507042,36
brazil,0.7794117647058824,0.8548387096774194,0.8153846153846154,62
cotton,0.8823529411764706,0.75,0.8108108108108109,20
rice,0.9444444444444444,0.7083333333333334,0.8095238095238095,24
argentina,0.9047619047619048,0.7307692307692307,0.8085106382978723,26
uae,0.9090909090909091,0.7142857142857143,0.8,14
nasdaq,1.0,0.6666666666666666,0.8,15
cbt,0.75,0.8571428571428571,0.8,7
algeria,1.0,0.6666666666666666,0.8,9
zambia,1.0,0.6666666666666666,0.8,6
uk,0.7947976878612717,0.8017492711370262,0.7982583454281568,343
miyazawa,0.9375,0.6818181818181818,0.7894736842105263,22
south-korea,0.8888888888888888,0.7058823529411765,0.7868852459016393,34
opec,0.7857142857142857,0.7857142857142857,0.7857142857142857,28
copper,0.6956521739130435,0.8888888888888888,0.7804878048780488,18
gnp,0.7567567567567568,0.8,0.7777777777777778,35
reserves,0.8571428571428571,0.7058823529411765,0.7741935483870968,17
carcass,0.9230769230769231,0.6666666666666666,0.7741935483870968,18
conable,0.8333333333333334,0.7142857142857143,0.7692307692307693,7
balladur,0.8333333333333334,0.7142857142857143,0.7692307692307693,14
thailand,0.8260869565217391,0.7037037037037037,0.76,27
mexico,0.8235294117647058,0.7,0.7567567567567568,20
canada,0.8091603053435115,0.7090301003344481,0.7557932263814616,299
indonesia,0.8333333333333334,0.6896551724137931,0.7547169811320755,29
james-miller,1.0,0.6,0.75,5
